Launching parallel algorithm...
PROCESS:1 DMIN:0.000000
PROCESS:0 DMIN:584.281610
PROCESS:2 DMIN:2.449490
PROCESS:3 DMIN:3.605551
PROCESS:14 DMIN:3.162278
PROCESS:15 DMIN:3.316625
PROCESS:9 DMIN:2.449490
PROCESS:39 DMIN:3.162278
PROCESS:31 DMIN:3.872983
PROCESS:26 DMIN:3.741657
PROCESS:16 DMIN:3.872983
PROCESS:8 DMIN:2.645751
PROCESS:6 DMIN:3.000000
PROCESS:19 DMIN:3.316625
PROCESS:17 DMIN:4.242641
PROCESS:18 DMIN:3.464102
PROCESS:25 DMIN:4.000000
PROCESS:34 DMIN:3.605551
PROCESS:5 DMIN:4.123106
PROCESS:32 DMIN:1.732051
PROCESS:42 DMIN:3.605551
PROCESS:11 DMIN:3.872983
PROCESS:37 DMIN:4.690416
PROCESS:44 DMIN:3.605551
PROCESS:13 DMIN:3.464102
PROCESS:23 DMIN:4.000000
PROCESS:24 DMIN:1.414214
PROCESS:10 DMIN:3.162278
PROCESS:12 DMIN:4.123106
PROCESS:36 DMIN:4.000000
PROCESS:41 DMIN:4.358899
PROCESS:46 DMIN:3.464102
PROCESS:30 DMIN:3.605551
PROCESS:47 DMIN:4.472136
PROCESS:33 DMIN:4.358899
PROCESS:43 DMIN:4.472136
PROCESS:35 DMIN:4.472136
PROCESS:27 DMIN:4.123106
PROCESS:40 DMIN:4.795832
PROCESS:7 DMIN:3.162278
PROCESS:4 DMIN:4.358899
PROCESS:38 DMIN:2.828427
PROCESS:22 DMIN:4.582576
PROCESS:29 DMIN:4.358899
PROCESS:20 DMIN:3.162278
PROCESS:21 DMIN:4.690416
PROCESS:28 DMIN:5.099020
PROCESS:45 DMIN:3.872983
---GLOBAL DMIN: 0.000000
---NEW GLOBAL DMIN: 0.000000
Found a total of 1 pairs of points with DMIN=0.000000
(-2500, 2180, 1177, -80, 1523)(-2500, 2180, 1177, -80, 1523)
Memory free
Time elapsed: 841.150000
